id,date,amount,category,description,payment_method
455,2025-02-26,39.57,Transportation,Gas refill,Debit
456,2025-03-01,1250.00,Housing,Monthly rent payment,Bank Transfer
457,2025-03-01,750.42,Healthcare,Unexpected large expense,Credit
458,2025-03-03,100.23,Groceries,Bi-weekly grocery shopping,Debit
459,2025-03-03,50.41,Dining,Restaurant meal,Credit
460,2025-03-05,15.99,Entertainment,Netflix subscription,Credit
461,2025-03-07,41.36,Transportation,Gas refill,Debit
462,2025-03-07,52.84,Dining,Restaurant meal,Credit
463,2025-03-10,10.99,Entertainment,Music streaming,Credit
464,2025-03-12,42.11,Transportation,Gas refill,Debit
465,2025-03-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
466,2025-03-17,100.73,Groceries,Bi-weekly grocery shopping,Debit
467,2025-03-18,57.69,Dining,Restaurant meal,Credit
468,2025-03-19,40.28,Transportation,Gas refill,Debit
469,2025-03-20,87.50,Utilities,Internet and phone,Bank Transfer
470,2025-03-22,54.92,Dining,Restaurant meal,Credit
471,2025-03-23,107.93,Shopping,Retail purchases,Credit
472,2025-03-26,43.65,Transportation,Gas refill,Debit
473,2025-03-31,101.24,Groceries,Bi-weekly grocery shopping,Debit
474,2025-04-01,1250.00,Housing,Monthly rent payment,Bank Transfer
475,2025-04-01,527.81,Emergency,Unexpected large expense,Credit
476,2025-04-03,53.27,Dining,Restaurant meal,Credit
477,2025-04-05,15.99,Entertainment,Netflix subscription,Credit
478,2025-04-05,42.73,Transportation,Gas refill,Debit
479,2025-04-07,51.86,Dining,Restaurant meal,Credit
480,2025-04-10,10.99,Entertainment,Music streaming,Credit
481,2025-04-12,41.94,Transportation,Gas refill,Debit
482,2025-04-12,125.00,Healthcare,Doctor visit copay,Credit
483,2025-04-14,101.75,Groceries,Bi-weekly grocery shopping,Debit
484,2025-04-15,129.36,Shopping,Retail purchases,Credit
485,2025-04-18,58.23,Dining,Restaurant meal,Credit
486,2025-04-19,44.21,Transportation,Gas refill,Debit
487,2025-04-20,87.50,Utilities,Internet and phone,Bank Transfer
488,2025-04-22,56.47,Dining,Restaurant meal,Credit
489,2025-04-26,40.87,Transportation,Gas refill,Debit
490,2025-04-28,102.26,Groceries,Bi-weekly grocery shopping,Debit
491,2025-05-01,1250.00,Housing,Monthly rent payment,Bank Transfer
492,2025-05-03,52.73,Dining,Restaurant meal,Credit
493,2025-05-05,15.99,Entertainment,Netflix subscription,Credit
494,2025-05-05,42.18,Transportation,Gas refill,Debit
495,2025-05-07,57.84,Dining,Restaurant meal,Credit
496,2025-05-10,10.99,Entertainment,Music streaming,Credit
497,2025-05-11,102.78,Groceries,Bi-weekly grocery shopping,Debit
498,2025-05-12,125.00,Healthcare,Doctor visit copay,Credit
499,2025-05-12,43.76,Transportation,Gas refill,Debit
500,2025-05-15,156.00,Utilities,Quarterly utility bill,Bank Transfer
501,2025-05-18,54.28,Dining,Restaurant meal,Credit
502,2025-05-19,41.53,Transportation,Gas refill,Debit
503,2025-05-20,87.50,Utilities,Internet and phone,Bank Transfer
504,2025-05-22,103.29,Groceries,Bi-weekly grocery shopping,Debit
505,2025-05-22,59.37,Dining,Restaurant meal,Credit
506,2025-05-23,142.68,Shopping,Retail purchases,Credit
507,2025-05-26,42.84,Transportation,Gas refill,Debit
508,2025-06-01,1250.00,Housing,Monthly rent payment,Bank Transfer
509,2025-06-01,395.47,Travel,Unexpected large expense,Credit
510,2025-06-03,51.39,Dining,Restaurant meal,Credit
511,2025-06-04,103.81,Groceries,Bi-weekly grocery shopping,Debit
512,2025-06-05,15.99,Entertainment,Netflix subscription,Credit
513,2025-06-05,44.58,Transportation,Gas refill,Debit
514,2025-06-07,56.89,Dining,Restaurant meal,Credit
515,2025-06-10,10.99,Entertainment,Music streaming,Credit
516,2025-06-12,42.31,Transportation,Gas refill,Debit
517,2025-06-12,125.00,Healthcare,Doctor visit copay,Credit
518,2025-06-15,128.74,Shopping,Retail purchases,Credit
519,2025-06-18,104.33,Groceries,Bi-weekly grocery shopping,Debit
520,2025-06-18,58.42,Dining,Restaurant meal,Credit
521,2025-06-19,40.93,Transportation,Gas refill,Debit
522,2025-06-20,87.50,Utilities,Internet and phone,Bank Transfer
523,2025-06-22,53.78,Dining,Restaurant meal,Credit
524,2025-06-26,42.67,Transportation,Gas refill,Debit
525,2025-07-01,1250.00,Housing,Monthly rent payment,Bank Transfer
526,2025-07-01,104.86,Groceries,Bi-weekly grocery shopping,Debit
527,2025-07-03,43.19,Transportation,Gas refill,Debit
528,2025-07-03,57.63,Dining,Restaurant meal,Credit
529,2025-07-05,15.99,Entertainment,Netflix subscription,Credit
530,2025-07-07,55.32,Dining,Restaurant meal,Credit
531,2025-07-10,10.99,Entertainment,Music streaming,Credit
532,2025-07-10,41.84,Transportation,Gas refill,Debit
533,2025-07-12,125.00,Healthcare,Doctor visit copay,Credit
534,2025-07-15,156.00,Utilities,Quarterly utility bill,Bank Transfer
535,2025-07-15,105.38,Groceries,Bi-weekly grocery shopping,Debit
536,2025-07-16,44.27,Transportation,Gas refill,Debit
537,2025-07-18,58.76,Dining,Restaurant meal,Credit
538,2025-07-20,87.50,Utilities,Internet and phone,Bank Transfer
539,2025-07-22,54.47,Dining,Restaurant meal,Credit
540,2025-07-23,131.52,Shopping,Retail purchases,Credit
541,2025-07-24,43.71,Transportation,Gas refill,Debit
542,2025-07-25,428.63,Education,Semester expenses,Credit
543,2025-07-29,105.91,Groceries,Bi-weekly grocery shopping,Debit
544,2025-07-31,41.86,Transportation,Gas refill,Debit
545,2025-08-01,1250.00,Housing,Monthly rent payment,Bank Transfer
546,2025-08-01,682.37,Healthcare,Unexpected large expense,Credit
547,2025-08-03,52.81,Dining,Restaurant meal,Credit
548,2025-08-05,15.99,Entertainment,Netflix subscription,Credit
549,2025-08-05,44.28,Transportation,Gas refill,Debit
550,2025-08-07,56.39,Dining,Restaurant meal,Credit
551,2025-08-10,10.99,Entertainment,Music streaming,Credit
552,2025-08-12,106.44,Groceries,Bi-weekly grocery shopping,Debit
553,2025-08-12,125.00,Healthcare,Doctor visit copay,Credit
554,2025-08-13,42.67,Transportation,Gas refill,Debit
555,2025-08-15,149.78,Shopping,Retail purchases,Credit
556,2025-08-18,59.21,Dining,Restaurant meal,Credit
557,2025-08-20,87.50,Utilities,Internet and phone,Bank Transfer
558,2025-08-21,43.95,Transportation,Gas refill,Debit
559,2025-08-22,54.63,Dining,Restaurant meal,Credit
560,2025-08-26,106.97,Groceries,Bi-weekly grocery shopping,Debit
561,2025-08-26,41.78,Transportation,Gas refill,Debit
562,2025-08-28,461.87,Education,Semester expenses,Credit
563,2025-09-01,1250.00,Housing,Monthly rent payment,Bank Transfer
564,2025-09-01,596.82,Shopping,Unexpected large expense,Credit
565,2025-09-03,57.84,Dining,Restaurant meal,Credit
566,2025-09-04,42.37,Transportation,Gas refill,Debit
567,2025-09-05,15.99,Entertainment,Netflix subscription,Credit
568,2025-09-07,53.62,Dining,Restaurant meal,Credit
569,2025-09-09,107.51,Groceries,Bi-weekly grocery shopping,Debit
570,2025-09-10,10.99,Entertainment,Music streaming,Credit
571,2025-09-11,45.28,Transportation,Gas refill,Debit
572,2025-09-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
573,2025-09-18,43.92,Transportation,Gas refill,Debit
574,2025-09-18,58.37,Dining,Restaurant meal,Credit
575,2025-09-20,87.50,Utilities,Internet and phone,Bank Transfer
576,2025-09-22,108.05,Groceries,Bi-weekly grocery shopping,Debit
577,2025-09-22,55.93,Dining,Restaurant meal,Credit
578,2025-09-23,135.42,Shopping,Retail purchases,Credit
579,2025-09-25,42.65,Transportation,Gas refill,Debit
580,2025-10-01,1250.00,Housing,Monthly rent payment,Bank Transfer
581,2025-10-03,56.78,Dining,Restaurant meal,Credit
582,2025-10-05,15.99,Entertainment,Netflix subscription,Credit
583,2025-10-05,44.19,Transportation,Gas refill,Debit
584,2025-10-07,108.59,Groceries,Bi-weekly grocery shopping,Debit
